# CFs,1
Timestamp [s],x_d,y_d,z_d, x,y,z,qw,qx,qy,qz
1642798174.19,"[-0.7251643047215146, -0.95807663595215, 1.9010755695463528, 0.9933134106764138, -0.05686823816853277, 0.00743794997746714, -0.09982693774221543, -0.13650826701070495, -0.30295956532986856, 0.06552637597259942, 0.01704722374551923, -0.006888867009405955, 0.0051534353165497634]","[-0.5593847632408142, -0.4186989367008209, 1.7914620637893677, 0.9933796043286747, 0.004076165194039788, 0.010156842996849796, -0.11435552073010731]"
1642798174.39,"[-0.7523972771031745, -0.9577679926526242, 1.9185694918091791, 0.9955518011347437, -0.0426706240937941, 0.009494287988533055, -0.0827438812487372, -0.11666794288761062, -0.2681845157579229, 0.052855982911627034, 0.009961601571577758, -0.004420997006599477, 0.004266415692380891]","[-0.604978621006012, -0.540580153465271, 1.8358416557312012, 0.9946838150073039, 0.00044888770788996033, 0.02115583260928499, -0.10077865552263242]"
1642798174.57,"[-0.7451801083800592, -1.0431926864562477, 1.9356903663835838, 0.9963419698999674, -0.04186901084882527, 0.0031820306568085916, -0.07329042892404589, -0.10494853291277367, -0.223315829375013, 0.04283083110820529, 0.007206472387566179, -0.002306719375713591, 0.003781845790799078]","[-0.6387141942977905, -0.6305248141288757, 1.866905927658081, 0.9947262697503365, -0.0014865803076652567, 0.02300670299942008, -0.0999406322006524]"
1642798174.79,"[-0.7456575626005087, -1.0335388945385322, 1.9456509815401775, 0.9962944466023501, -0.03395584861158478, 0.0016481597327204288, -0.07798902715251702, -0.09970339585967408, -0.21198755758285123, 0.035654437743775476, 0.0036961091981362326, -0.001230379668122096, 0.00402229528855283]","[-0.6795268058776855, -0.7472979426383972, 1.896167516708374, 0.9959179708490759, -0.004648906620844281, 0.026088319586460535, -0.08628547147836947]"
1642798174.98,"[-0.7851095070627908, -1.1773957056282636, 1.958946474559254, 0.9973669390479709, -0.036789856578810204, 0.0018096081233980575, -0.06153966595138935, -0.07944026726129086, -0.14820344803670138, 0.027864552817715264, 0.005452183780161171, -0.0008575436231469044, 0.003173370305475664]","[-0.706993043422699, -0.834953248500824, 1.9113123416900635, 0.9960213268075514, 0.0007273227066893842, 0.025387845842974783, -0.08541922985872959]"
1642798175.19,"[-0.7801964188601107, -1.1955070089295998, 1.9615019793408386, 0.9971969747950704, -0.03261384922902092, -0.0001503143141202432, -0.06636993135061557, -0.07882030830407262, -0.1372484383201727, 0.02387479312898677, 0.0037833230513222155, -4.7878468366721605e-05, 0.003421412426975516]","[-0.7299407124519348, -0.9092068672180176, 1.9191845655441284, 0.9968293533432023, -0.008515220326986175, 0.02433031107078012, -0.07527793368149202]"
1642798175.37,"[-0.7871789105098459, -1.187595289564635, 1.9618571703821597, 0.9981654918315689, -0.022960462865480466, -0.0002572076980013279, -0.054644241155299, -0.0731703194152362, -0.1266701784892993, 0.020130159712149678, 0.0022994757964905493, 0.0003816599404105406, 0.002816385973045163]","[-0.7446855306625366, -0.9591600894927979, 1.92021644115448, 0.9971824825728761, -0.002249932601845194, 0.02128000358634473, -0.07189711886054918]"
1642798175.58,"[-0.7888605704642075, -1.1957469175659332, 1.961683561762669, 0.9981871538021759, -0.021998011712115923, -0.00028577684478723773, -0.05501957899286554, -0.07167782175196113, -0.1230577531581942, 0.01790224886957071, 0.0009230330457327962, 0.0008435337083983821, 0.0028358237670210486]","[-0.7579131722450256, -1.0070455074310303, 1.9171054363250732, 0.9976788843890174, -0.003997670520491864, 0.019329955965393195, -0.06517066116797668]"
1642798175.79,"[-0.7977724743624374, -1.2160854675263244, 1.958755657353048, 0.9985919371262876, -0.01906585342891384, 9.421470397309685e-05, -0.04830186856314931, -0.06658235990756269, -0.1084142071721407, 0.015907483015398266, 0.00042457094639962445, 0.0011369290264630003, 0.002489171600537802]","[-0.7674776315689087, -1.05235755443573, 1.911717176437378, 0.9976649090445926, 0.0025187085358738407, 0.02406560955358773, -0.06386886412932657]"
1642798175.99,"[-0.7812580716797373, -1.2676682428443187, 1.95470860553387, 0.9984219993737059, -0.02169392985184883, -0.0034620914748485997, -0.049660435125350455, -0.0678227574538873, -0.09039064318164432, 0.01460303021755429, 0.0005092537366242628, 0.0019084791641576504, 0.0025587897097485574]","[-0.7743762135505676, -1.0833024978637695, 1.9073526859283447, 0.9980106552216904, 0.008470406924241369, 0.017939441262778504, -0.059842800048871395]"
